"","token","skills_count","cuny_count","pct_skills_snippets","pct_cuny_courses"
"1","multivariate",1,0,0.01,0
"2","multivariate calculus",1,0,0.01,0
"3","multivariate calculus linear",1,0,0.01,0
"4","calculus",2,2,0.02,0.105263157894737
"5","calculus linear",1,0,0.01,0
"6","calculus linear algebra",1,0,0.01,0
"7","linear",3,4,0.03,0.210526315789474
"8","linear algebra",2,0,0.02,0
"9","linear algebra machine",1,0,0.01,0
"10","algebra",2,1,0.02,0.0526315789473684
"11","algebra machine",1,0,0.01,0
"12","algebra machine learning",1,0,0.01,0
"13","machine",15,4,0.15,0.210526315789474
"14","machine learning",14,4,0.14,0.210526315789474
"15","machine learning invariably",1,0,0.01,0
"16","learning",17,5,0.17,0.263157894736842
"17","learning invariably",1,0,0.01,0
"18","learning invariably data",1,0,0.01,0
"19","invariably",1,0,0.01,0
"20","invariably data",1,0,0.01,0
"21","invariably data science",1,0,0.01,0
"22","data",159,43,1.59,2.26315789473684
"23","data science",54,2,0.54,0.105263157894737
"24","data science models",1,0,0.01,0
"25","science",55,3,0.55,0.157894736842105
"26","science models",1,0,0.01,0
"27","science models built",1,0,0.01,0
"28","models",2,3,0.02,0.157894736842105
"29","models built",1,0,0.01,0
"30","models built several",1,0,0.01,0
"31","built",1,0,0.01,0
"32","built several",1,0,0.01,0
"33","built several predictors",1,0,0.01,0
"34","several",1,1,0.01,0.0526315789473684
"35","several predictors",1,0,0.01,0
"36","several predictors unknown",1,0,0.01,0
"37","predictors",1,0,0.01,0
"38","predictors unknown",1,0,0.01,0
"39","predictors unknown variables",1,0,0.01,0
"40","unknown",1,0,0.01,0
"41","unknown variables",1,0,0.01,0
"42","unknown variables data",1,0,0.01,0
"43","variables",1,0,0.01,0
"44","variables data",1,0,0.01,0
"45","variables data scientists",1,0,0.01,0
"46","data scientists",27,0,0.27,0
"47","data scientists expected",1,0,0.01,0
"48","scientists",28,0,0.28,0
"49","scientists expected",1,0,0.01,0
"50","scientists expected know",1,0,0.01,0
"51","expected",2,2,0.02,0.105263157894737
"52","expected know",1,0,0.01,0
"53","expected know lot",1,0,0.01,0
"54","know",6,0,0.06,0
"55","know lot",1,0,0.01,0
"56","know lot machine",1,0,0.01,0
"57","lot",1,0,0.01,0
"58","lot machine",1,0,0.01,0
"59","lot machine learning",1,0,0.01,0
"60","machine learning computer",1,0,0.01,0
"61","learning computer",1,0,0.01,0
"62","learning computer science",1,0,0.01,0
"63","computer",3,3,0.03,0.157894736842105
"64","computer science",1,0,0.01,0
"65","computer science statistics",1,0,0.01,0
"66","science statistics",1,0,0.01,0
"67","science statistics mathematics",1,0,0.01,0
"68","statistics",8,3,0.08,0.157894736842105
"69","statistics mathematics",2,0,0.02,0
"70","statistics mathematics data",1,0,0.01,0
"71","mathematics",5,1,0.05,0.0526315789473684
"72","mathematics data",1,0,0.01,0
"73","mathematics data visualization",1,0,0.01,0
"74","data visualization",2,0,0.02,0
"75","data visualization communication",1,0,0.01,0
"76","visualization",3,1,0.03,0.0526315789473684
"77","visualization communication",1,0,0.01,0
"78","visualization communication days",1,0,0.01,0
"79","communication",10,0,0.1,0
"80","communication days",1,0,0.01,0
"81","communication days depth",1,0,0.01,0
"82","days",3,0,0.03,0
"83","days depth",1,0,0.01,0
"84","days depth analysis",1,0,0.01,0
"85","depth",1,1,0.01,0.0526315789473684
"86","depth analysis",1,0,0.01,0
"87","depth analysis demand",1,0,0.01,0
"88","analysis",5,3,0.05,0.157894736842105
"89","analysis demand",1,0,0.01,0
"90","analysis demand skills",1,0,0.01,0
"91","demand",4,0,0.04,0
"92","demand skills",2,0,0.02,0
"93","demand skills webscraping",1,0,0.01,0
"94","skills",83,2,0.83,0.105263157894737
"95","skills webscraping",1,0,0.01,0
"96","skills webscraping data",1,0,0.01,0
"97","webscraping",1,0,0.01,0
"98","webscraping data",1,0,0.01,0
"99","webscraping data scientist",1,0,0.01,0
"100","data scientist",45,0,0.45,0
"101","data scientist job",5,0,0.05,0
"102","scientist",45,0,0.45,0
"103","scientist job",5,0,0.05,0
"104","scientist job postings",1,0,0.01,0
"105","job",16,0,0.16,0
"106","job postings",2,0,0.02,0
"107","job postings introduction",1,0,0.01,0
"108","postings",2,0,0.02,0
"109","postings introduction",1,0,0.01,0
"110","postings introduction just",1,0,0.01,0
"111","introduction",1,0,0.01,0
"112","introduction just",1,0,0.01,0
"113","introduction just wanted",1,0,0.01,0
"114","just",6,0,0.06,0
"115","just wanted",1,0,0.01,0
"116","just wanted start",1,0,0.01,0
"117","wanted",2,0,0.02,0
"118","wanted start",1,0,0.01,0
"119","wanted start day",1,0,0.01,0
"120","start",3,0,0.03,0
