"","kind","title","htmlTitle","link","displayLink","snippet","htmlSnippet","cacheId","formattedUrl","htmlFormattedUrl"
"1","customsearch#result","Top 10 Skills for a Data Scientist | by Rashi Desai | Towards Data ...","Top 10 <b>Skills</b> for a <b>Data Scientist</b> | by Rashi Desai | Towards Data ...","https://towardsdatascience.com/top-10-skills-for-a-data-scientist-in-2020-2b8e6122a742","towardsdatascience.com","Jan 2, 2020 ... 2. Multivariate Calculus & Linear Algebra. Most machine learning, invariably data 
science models, are built with several predictors or unknown ...","Jan 2, 2020 <b>...</b> 2. Multivariate Calculus &amp; Linear Algebra. Most machine learning, invariably <b>data</b> <br>
<b>science</b> models, are built with several predictors or unknown&nbsp;...","7lTdTxIG4-MJ","https://towardsdatascience.com/top-10-skills-for-a-data-scientist-in-2020- 2b8e6122a742","https://towards<b>datascience</b>.com/top-10-<b>skills</b>-for-a-<b>data</b>-<b>scientist</b>-in-2020- 2b8e6122a742"
"2","customsearch#result","The Most In-Demand Skills for Data Scientists | by Jeff Hale ...","The Most In-Demand <b>Skills</b> for <b>Data Scientists</b> | by Jeff Hale ...","https://towardsdatascience.com/the-most-in-demand-skills-for-data-scientists-4a4a8db896db","towardsdatascience.com","Oct 12, 2018 ... Data scientists are expected to know a lot — machine learning, computer science
, statistics, mathematics, data visualization, communication, ...","Oct 12, 2018 <b>...</b> <b>Data scientists</b> are expected to know a lot — machine learning, computer science<br>
, statistics, mathematics, data visualization, communication,&nbsp;...","HlDg4ewWDWsJ","https://towardsdatascience.com/the-most-in-demand-skills-for-data-scientists- 4a4a8db896db","https://towards<b>datascience</b>.com/the-most-in-demand-<b>skills</b>-for-<b>data</b>-<b>scientists</b>- 4a4a8db896db"
"3","customsearch#result","The Most In-Demand Skills for Data Scientists in 2021 | by Terence ...","The Most In-Demand <b>Skills</b> for <b>Data Scientists</b> in 2021 | by Terence ...","https://towardsdatascience.com/the-most-in-demand-skills-for-data-scientists-in-2021-4b2a808f4005","towardsdatascience.com","An in-depth analysis of the most in-demand skills from webscraping over 15,000 
Data Scientist job postings. Introduction. I just wanted to start off by saying that 
this ...","An in-depth analysis of the most in-demand <b>skills</b> from webscraping over 15,000 <br>
<b>Data Scientist</b> job postings. Introduction. I just wanted to start off by saying that <br>
this&nbsp;...","jh9FsedFoYIJ","https://towardsdatascience.com/the-most-in-demand-skills-for-data-scientists- in-2021-4b2a808f4005","https://towards<b>datascience</b>.com/the-most-in-demand-<b>skills</b>-for-<b>data</b>-<b>scientists</b>- in-2021-4b2a808f4005"
"4","customsearch#result","How I went from zero coding skills to data scientist in 6 months | by ...","How I went from zero coding <b>skills</b> to <b>data scientist</b> in 6 months | by ...","https://towardsdatascience.com/how-i-went-from-zero-coding-skills-to-data-scientist-in-6-months-c2207b65f2f3","towardsdatascience.com","I just needed the practical skills. This story will describe the 4 different courses 
that I took and how they led to a data science job at a healthcare startup in 
Silicone ...","I just needed the practical <b>skills</b>. This story will describe the 4 different courses <br>
that I took and how they led to a <b>data science</b> job at a healthcare startup in <br>
Silicone&nbsp;...","muWpcV0tNVEJ","https://towardsdatascience.com/how-i-went-from-zero-coding-skills-to-data- scientist-in-6-months-c2207b65f2f3","https://towards<b>datascience</b>.com/how-i-went-from-zero-coding-<b>skills</b>-to-<b>data</b>- <b>scientist</b>-in-6-months-c2207b65f2f3"
"5","customsearch#result","Data Science Minimum: 10 Essential Skills You Need to Know to ...","<b>Data Science</b> Minimum: 10 Essential <b>Skills</b> You Need to Know to ...","https://towardsdatascience.com/data-science-minimum-10-essential-skills-you-need-to-know-to-start-doing-data-science-e5a5a9be5991","towardsdatascience.com","10 Essential Skills You Need to Know to Start Doing Data Science · 1. 
Mathematics and Statistics Skills · 2. Essential Programming Skills · 3. Data 
Wrangling and ...","10 Essential <b>Skills</b> You Need to Know to Start Doing <b>Data Science</b> &middot; 1. <br>
Mathematics and Statistics <b>Skills</b> &middot; 2. Essential Programming <b>Skills</b> &middot; 3. Data <br>
Wrangling and&nbsp;...","dcdMRzqXNFkJ","https://towardsdatascience.com/data-science-minimum-10-essential-skills-you -need-to-know-to-start-doing-data-science-e5a5a9be5991","https://towards<b>datascience</b>.com/<b>data</b>-<b>science</b>-minimum-10-essential-<b>skills</b>-you -need-to-know-to-start-doing-<b>data</b>-<b>science</b>-e5a5a9be5991"
"6","customsearch#result","The Most In-Demand Tech Skills for Data Scientists | by Jeff Hale ...","The Most In-Demand Tech <b>Skills</b> for <b>Data Scientists</b> | by Jeff Hale ...","https://towardsdatascience.com/the-most-in-demand-tech-skills-for-data-scientists-d716d10c191d","towardsdatascience.com","Dec 5, 2019 ... In fall of 2018 I analyzed the most in-demand skills and technologies for data 
scientists. That article resonated with folks. It has over 11000 ...","Dec 5, 2019 <b>...</b> In fall of 2018 I analyzed the most in-demand <b>skills</b> and technologies for <b>data</b> <br>
<b>scientists</b>. That article resonated with folks. It has over 11000&nbsp;...","-FqP1emps50J","https://towardsdatascience.com/the-most-in-demand-tech-skills-for-data- scientists-d716d10c191d","https://towards<b>datascience</b>.com/the-most-in-demand-tech-<b>skills</b>-for-<b>data</b>- <b>scientists</b>-d716d10c191d"
"7","customsearch#result","7 Most Recommended Skills to Learn in 2021 to be a Data Scientist ...","7 Most Recommended <b>Skills</b> to Learn in 2021 to be a <b>Data Scientist</b> ...","https://towardsdatascience.com/7-most-recommended-data-science-skills-to-learn-in-2021-ac26933f0e8a","towardsdatascience.com","Jan 1, 2021 ... 1) SQL. SQL is the universal language in the world of data. · 2) Data 
Visualizations & Storytelling. If you think creating data visualizations and ...","Jan 1, 2021 <b>...</b> 1) SQL. SQL is the universal language in the world of <b>data</b>. &middot; 2) <b>Data</b> <br>
Visualizations &amp; Storytelling. If you think creating <b>data</b> visualizations and&nbsp;...","5WPQyeCnogwJ","https://towardsdatascience.com/7-most-recommended-data-science-skills-to- learn-in-2021-ac26933f0e8a","https://towards<b>datascience</b>.com/7-most-recommended-<b>data</b>-<b>science</b>-<b>skills</b>-to- learn-in-2021-ac26933f0e8a"
"8","customsearch#result","Become a Data Scientist in 2020 with these 10 resources | by Rahul ...","Become a <b>Data Scientist</b> in 2020 with these 10 resources | by Rahul ...","https://towardsdatascience.com/top-10-resources-to-become-a-data-scientist-in-2020-99a315194701","towardsdatascience.com","Jan 31, 2020 ... This skills-based specialization is intended for learners who have a basic python 
or programming background, and want to apply statistical, ...","Jan 31, 2020 <b>...</b> This <b>skills</b>-based specialization is intended for learners who have a basic python <br>
or programming background, and want to apply statistical,&nbsp;...","q2iMz_h8k-0J","https://towardsdatascience.com/top-10-resources-to-become-a-data-scientist- in-2020-99a315194701","https://towards<b>datascience</b>.com/top-10-resources-to-become-a-<b>data</b>-<b>scientist</b>- in-2020-99a315194701"
"9","customsearch#result","Becoming a Level 3.0 Data Scientist | by Jan Zawadzki | Towards ...","Becoming a Level 3.0 <b>Data Scientist</b> | by Jan Zawadzki | Towards ...","https://towardsdatascience.com/becoming-a-level-3-0-data-scientist-52641ff73cb3","towardsdatascience.com","Junior Data Scientists have good statistical skills · Senior Data Scientists excel at 
putting models into production · Principal Data Scientists know how to create ...","Junior <b>Data Scientists</b> have good statistical <b>skills</b> &middot; Senior <b>Data Scientists</b> excel at <br>
putting models into production &middot; Principal <b>Data Scientists</b> know how to create&nbsp;...","iOku_S6zJLcJ","https://towardsdatascience.com/becoming-a-level-3-0-data-scientist- 52641ff73cb3","https://towards<b>datascience</b>.com/becoming-a-level-3-0-<b>data</b>-<b>scientist</b>- 52641ff73cb3"
"10","customsearch#result","Essential SQL Skills for Data Scientists in 2021 | by Leihua Ye, Ph.D ...","Essential SQL <b>Skills</b> for <b>Data Scientists</b> in 2021 | by Leihua Ye, Ph.D ...","https://towardsdatascience.com/essential-sql-skills-for-data-scientists-in-2021-8eb14a38b97f","towardsdatascience.com","Structured Query Language, SQL, is a programming language that handles data 
query and data management in a relational database. For social media ...","Structured Query Language, SQL, is a programming language that handles <b>data</b> <br>
query and <b>data</b> management in a relational database. For social media&nbsp;...","-G60_pPnB3AJ","https://towardsdatascience.com/essential-sql-skills-for-data-scientists-in-2021- 8eb14a38b97f","https://towards<b>datascience</b>.com/essential-sql-<b>skills</b>-for-<b>data</b>-<b>scientists</b>-in-2021- 8eb14a38b97f"
